timestamp,L_distance,M_distance,R_distance,light1,light2,line_sensors,motor1,motor2,motor3,motor4
2025-02-20T19:20:43.685363,0,0,0,0,0,0,0,0,0,0
2025-02-20T19:20:49.454604,51,52,52,0,0,0,600,600,600,600
2025-02-20T19:20:49.703782,51,52,52,0,0,0,600,600,600,600
2025-02-20T19:20:49.914152,51,51,52,0,0,0,600,600,600,600
2025-02-20T19:20:50.135348,51,51,51,0,0,0,600,600,600,600
2025-02-20T19:20:50.405432,51,54,51,0,0,0,600,600,600,600
2025-02-20T19:20:50.609714,51,54,51,0,0,0,600,600,600,600
2025-02-20T19:20:50.847823,38,54,51,0,0,0,600,600,600,600
2025-02-20T19:20:51.068532,38,32,51,0,0,0,600,600,600,600
2025-02-20T19:20:51.284196,38,32,30,0,0,0,600,600,600,600
2025-02-20T19:20:51.524262,38,21,30,0,0,0,-1600,-1600,1600,1600
2025-02-20T19:20:51.748120,38,21,30,0,0,0,-1600,-1600,1600,1600
2025-02-20T19:20:52.003878,38,21,30,0,0,0,-1600,-1600,1600,1600
2025-02-20T19:20:52.224551,12,21,30,0,0,0,-1200,-1200,-1200,-1200
2025-02-20T19:20:52.444402,12,21,30,0,0,0,1600,1600,-1600,-1600
2025-02-20T19:20:52.676637,12,21,30,0,0,0,1600,1600,-1600,-1600
2025-02-20T19:20:52.902497,12,42,30,0,0,0,1500,1500,-800,-800
2025-02-20T19:20:53.105914,12,42,30,0,0,0,1500,1500,-800,-800
2025-02-20T19:20:53.336395,12,42,30,0,0,0,1500,1500,-800,-800
2025-02-20T19:20:53.563103,12,42,42,0,0,0,1500,1500,-800,-800
2025-02-20T19:20:53.786269,12,42,42,0,0,0,1500,1500,-800,-800
2025-02-20T19:20:54.016909,12,89,42,0,0,0,1500,1500,-800,-800
2025-02-20T19:20:54.238688,12,89,42,0,0,0,1500,1500,-800,-800
2025-02-20T19:20:54.471607,81,89,42,0,0,0,600,600,600,600
2025-02-20T19:20:54.701813,81,81,42,0,0,0,600,600,600,600
2025-02-20T19:20:54.937334,81,81,81,0,0,0,600,600,600,600
2025-02-20T19:20:55.154798,81,89,81,0,0,0,600,600,600,600
2025-02-20T19:20:55.378879,90,89,81,0,0,0,600,600,600,600
2025-02-20T19:20:55.631601,90,90,81,0,0,0,600,600,600,600
2025-02-20T19:20:55.857925,90,67,68,0,0,0,600,600,600,600
2025-02-20T19:20:56.090209,67,67,68,0,0,0,600,600,600,600
2025-02-20T19:20:56.310977,67,67,68,0,0,0,600,600,600,600
2025-02-20T19:20:56.544313,67,67,68,0,0,0,600,600,600,600
2025-02-20T19:20:56.771892,67,67,63,0,0,0,600,600,600,600
